,Season,id,Division,Logo,Name,Abbrev,Seed,Wins,Losses,Ties,%,PF,PA,ExpectedWins,PFonWins,PAonLosses,PFonLosses,PAonWins
57,2021,11,2,https://g.espncdn.com/s/ffllm/logos/BoneHeads-ToddDetwiler/BoneHeads-09.svg,Carpina Carpenters,Carp,10,5,9,0,0.3571428571428571,1033.4,1099.2,6.933333333333334,0,0,0,0
58,2021,12,1,https://g.espncdn.com/lm-static/logo-packs/core/StarWarsTheRiseOfSkywalker/rise-skywalker-r2d2.svg,NE Mac'n Cheesers,NE,12,5,9,0,0.3571428571428571,1031.7,1155.1,6.199999999999999,0,0,0,0
59,2021,13,0,https://g.espncdn.com/lm-static/logo-packs/ffl/AtTheStadium-RobbHarskamp/At_The_Stadium_08.svg,Team Britto,BRIT,5,11,3,0,0.7857142857142857,1155.4,1015.8000000000002,8.6,0,0,0,0
60,2021,14,0,https://g.espncdn.com/s/ffllm/logos/AtTheStadium-RobbHarskamp/At_The_Stadium_01.svg,Hellcife Mottinha,MOTT,15,4,10,0,0.2857142857142857,952.6,1105.1,4.866666666666666,0,0,0,0
61,2021,15,2,https://imageshack.com/a/img923/4306/Sll1KD.jpg,Maria Farinha Green n Gold,MFGG,8,7,7,0,0.5,997.2,1031.5,5.866666666666667,0,0,0,0
62,2021,16,2,https://scontent.frec5-1.fna.fbcdn.net/v/t1.0-9/42647793_1911801742231791_8353841562588807168_n.jpg?_nc_cat=111&oh=3751fb0c891ed5b59aded4c707712f08&oe=5C1DF581,Recife Burilzords,BZDS,6,9,5,0,0.6428571428571429,1155.8,1066.2000000000005,8.466666666666667,0,0,0,0
63,2021,17,2,https://g.espncdn.com/lm-static/logo-packs/ffl/Talent-ChipWass/talent-berry.svg,The  Maniac’s,FEAR,2,10,4,0,0.7142857142857143,1110.6,945.4,7.533333333333334,0,0,0,0
64,2022,1,0,https://imageshack.com/a/img921/8492/jQlkYN.jpg,The Queijo Coalho,QUEI,13,4,10,0,0.2857142857142857,1048.7,1246.8,6.7333333333333325,0,0,0,0
65,2022,2,3,https://i.postimg.cc/G2gvMtT5/Screenshot-20220825-184536-Drive.jpg,Curado Sport Saints,CSS,7,8,6,0,0.5714285714285714,1053.0,956.3,7.466666666666666,0,0,0,0
66,2022,3,3,https://imagizer.imageshack.com/img923/8461/F0vgH9.png,Recife Black Mambas,JOAO,16,4,10,0,0.2857142857142857,814.7,955.0,2.8666666666666663,0,0,0,0
67,2022,4,0,https://g.espncdn.com/lm-static/logo-packs/ffl/TeamKinny-MartinLaksman/TeamKinny-17.svg,Bonus Team,BT,1,12,2,0,0.8571428571428571,1207.5,917.8,9.733333333333333,0,0,0,0
68,2022,5,1,http://2.bp.blogspot.com/-zstn9mJPVJE/TymqfH_hN6I/AAAAAAAAAgA/ughMAoBPn4s/s1600/anti+brady.jpg,Anti-Brady Team,ABT,15,4,10,0,0.2857142857142857,914.6,1081.8,5.466666666666666,0,0,0,0
69,2022,7,1,https://g.espncdn.com/lm-static/logo-packs/ffl/CreepShow-ToddDetwiler/CreepShow-11.svg,Valter Figueiredu's ,KAIO,8,7,7,0,0.5,1068.3,921.3,6.800000000000001,0,0,0,0
70,2022,8,1,https://i.postimg.cc/kMz49QMC/Igara-Boys.png,Igara  Boys ,IGB,4,9,5,0,0.6428571428571429,1054.4,1011.5,7.133333333333334,0,0,0,0
